Month,Zipcode,Crime rate per 1000
04/2019,04001,0.26
04/2019,85920,0.26
04/2019,85924,0.26
04/2019,85925,0.26
04/2019,85927,0.26
04/2019,85930,0.26
04/2019,85932,0.26
04/2019,85936,0.26
04/2019,85938,0.26
04/2019,85940,0.26
04/2019,86028,0.26
04/2019,86502,0.26
04/2019,86503,0.26
04/2019,86504,0.26
04/2019,86505,0.26
04/2019,86506,0.26
04/2019,86507,0.26
04/2019,86508,0.26
04/2019,86511,0.26
04/2019,86512,0.26
04/2019,86514,0.26
04/2019,86515,0.26
04/2019,86535,0.26
04/2019,86538,0.26
04/2019,86540,0.26
04/2019,86544,0.26
04/2019,86545,0.26
04/2019,86547,0.26
04/2019,86556,0.26
05/2019,04001,0.13
05/2019,85920,0.13
05/2019,85924,0.13
05/2019,85925,0.13
05/2019,85927,0.13
05/2019,85930,0.13
05/2019,85932,0.13
05/2019,85936,0.13
05/2019,85938,0.13
05/2019,85940,0.13
05/2019,86028,0.13
05/2019,86502,0.13
05/2019,86503,0.13
05/2019,86504,0.13
05/2019,86505,0.13
05/2019,86506,0.13
05/2019,86507,0.13
05/2019,86508,0.13
05/2019,86511,0.13
05/2019,86512,0.13
05/2019,86514,0.13
05/2019,86515,0.13
05/2019,86535,0.13
05/2019,86538,0.13
05/2019,86540,0.13
05/2019,86544,0.13
05/2019,86545,0.13
05/2019,86547,0.13
05/2019,86556,0.13
06/2019,04001,0.19
06/2019,85920,0.19
06/2019,85924,0.19
06/2019,85925,0.19
06/2019,85927,0.19
06/2019,85930,0.19
06/2019,85932,0.19
06/2019,85936,0.19
06/2019,85938,0.19
06/2019,85940,0.19
06/2019,86028,0.19
06/2019,86502,0.19
06/2019,86503,0.19
06/2019,86504,0.19
06/2019,86505,0.19
06/2019,86506,0.19
06/2019,86507,0.19
06/2019,86508,0.19
06/2019,86511,0.19
06/2019,86512,0.19
06/2019,86514,0.19
06/2019,86515,0.19
06/2019,86535,0.19
06/2019,86538,0.19
06/2019,86540,0.19
06/2019,86544,0.19
06/2019,86545,0.19
06/2019,86547,0.19
06/2019,86556,0.19
07/2019,04001,0.19
07/2019,85920,0.19
07/2019,85924,0.19
07/2019,85925,0.19
07/2019,85927,0.19
07/2019,85930,0.19
07/2019,85932,0.19
07/2019,85936,0.19
07/2019,85938,0.19
07/2019,85940,0.19
07/2019,86028,0.19
07/2019,86502,0.19
07/2019,86503,0.19
07/2019,86504,0.19
07/2019,86505,0.19
07/2019,86506,0.19
07/2019,86507,0.19
07/2019,86508,0.19
07/2019,86511,0.19
07/2019,86512,0.19
07/2019,86514,0.19
07/2019,86515,0.19
07/2019,86535,0.19
07/2019,86538,0.19
07/2019,86540,0.19
07/2019,86544,0.19
07/2019,86545,0.19
07/2019,86547,0.19
07/2019,86556,0.19
08/2019,04001,0.49
08/2019,85920,0.49
08/2019,85924,0.49
08/2019,85925,0.49
08/2019,85927,0.49
08/2019,85930,0.49
08/2019,85932,0.49
08/2019,85936,0.49
08/2019,85938,0.49
08/2019,85940,0.49
08/2019,86028,0.49
08/2019,86502,0.49
08/2019,86503,0.49
08/2019,86504,0.49
08/2019,86505,0.49
08/2019,86506,0.49
08/2019,86507,0.49
08/2019,86508,0.49
08/2019,86511,0.49
08/2019,86512,0.49
08/2019,86514,0.49
08/2019,86515,0.49
08/2019,86535,0.49
08/2019,86538,0.49
08/2019,86540,0.49
08/2019,86544,0.49
08/2019,86545,0.49
08/2019,86547,0.49
08/2019,86556,0.49
09/2019,04001,0.29
09/2019,85920,0.29
09/2019,85924,0.29
09/2019,85925,0.29
09/2019,85927,0.29
09/2019,85930,0.29
09/2019,85932,0.29
09/2019,85936,0.29
09/2019,85938,0.29
09/2019,85940,0.29
09/2019,86028,0.29
09/2019,86502,0.29
09/2019,86503,0.29
09/2019,86504,0.29
09/2019,86505,0.29
09/2019,86506,0.29
09/2019,86507,0.29
09/2019,86508,0.29
09/2019,86511,0.29
09/2019,86512,0.29
09/2019,86514,0.29
09/2019,86515,0.29
09/2019,86535,0.29
09/2019,86538,0.29
09/2019,86540,0.29
09/2019,86544,0.29
09/2019,86545,0.29
09/2019,86547,0.29
09/2019,86556,0.29
10/2019,04001,N/A
10/2019,85920,N/A
10/2019,85924,N/A
10/2019,85925,N/A
10/2019,85927,N/A
10/2019,85930,N/A
10/2019,85932,N/A
10/2019,85936,N/A
10/2019,85938,N/A
10/2019,85940,N/A
10/2019,86028,N/A
10/2019,86502,N/A
10/2019,86503,N/A
10/2019,86504,N/A
10/2019,86505,N/A
10/2019,86506,N/A
10/2019,86507,N/A
10/2019,86508,N/A
10/2019,86511,N/A
10/2019,86512,N/A
10/2019,86514,N/A
10/2019,86515,N/A
10/2019,86535,N/A
10/2019,86538,N/A
10/2019,86540,N/A
10/2019,86544,N/A
10/2019,86545,N/A
10/2019,86547,N/A
10/2019,86556,N/A
11/2019,04001,0.19
11/2019,85920,0.19
11/2019,85924,0.19
11/2019,85925,0.19
11/2019,85927,0.19
11/2019,85930,0.19
11/2019,85932,0.19
11/2019,85936,0.19
11/2019,85938,0.19
11/2019,85940,0.19
11/2019,86028,0.19
11/2019,86502,0.19
11/2019,86503,0.19
11/2019,86504,0.19
11/2019,86505,0.19
11/2019,86506,0.19
11/2019,86507,0.19
11/2019,86508,0.19
11/2019,86511,0.19
11/2019,86512,0.19
11/2019,86514,0.19
11/2019,86515,0.19
11/2019,86535,0.19
11/2019,86538,0.19
11/2019,86540,0.19
11/2019,86544,0.19
11/2019,86545,0.19
11/2019,86547,0.19
11/2019,86556,0.19
12/2019,04001,0.21
12/2019,85920,0.21
12/2019,85924,0.21
12/2019,85925,0.21
12/2019,85927,0.21
12/2019,85930,0.21
12/2019,85932,0.21
12/2019,85936,0.21
12/2019,85938,0.21
12/2019,85940,0.21
12/2019,86028,0.21
12/2019,86502,0.21
12/2019,86503,0.21
12/2019,86504,0.21
12/2019,86505,0.21
12/2019,86506,0.21
12/2019,86507,0.21
12/2019,86508,0.21
12/2019,86511,0.21
12/2019,86512,0.21
12/2019,86514,0.21
12/2019,86515,0.21
12/2019,86535,0.21
12/2019,86538,0.21
12/2019,86540,0.21
12/2019,86544,0.21
12/2019,86545,0.21
12/2019,86547,0.21
12/2019,86556,0.21
01/2020,04001,0.36
01/2020,85920,0.36
01/2020,85924,0.36
01/2020,85925,0.36
01/2020,85927,0.36
01/2020,85930,0.36
01/2020,85932,0.36
01/2020,85936,0.36
01/2020,85938,0.36
01/2020,85940,0.36
01/2020,86028,0.36
01/2020,86502,0.36
01/2020,86503,0.36
01/2020,86504,0.36
01/2020,86505,0.36
01/2020,86506,0.36
01/2020,86507,0.36
01/2020,86508,0.36
01/2020,86511,0.36
01/2020,86512,0.36
01/2020,86514,0.36
01/2020,86515,0.36
01/2020,86535,0.36
01/2020,86538,0.36
01/2020,86540,0.36
01/2020,86544,0.36
01/2020,86545,0.36
01/2020,86547,0.36
01/2020,86556,0.36
02/2020,04001,N/A
02/2020,85920,N/A
02/2020,85924,N/A
02/2020,85925,N/A
02/2020,85927,N/A
02/2020,85930,N/A
02/2020,85932,N/A
02/2020,85936,N/A
02/2020,85938,N/A
02/2020,85940,N/A
02/2020,86028,N/A
02/2020,86502,N/A
02/2020,86503,N/A
02/2020,86504,N/A
02/2020,86505,N/A
02/2020,86506,N/A
02/2020,86507,N/A
02/2020,86508,N/A
02/2020,86511,N/A
02/2020,86512,N/A
02/2020,86514,N/A
02/2020,86515,N/A
02/2020,86535,N/A
02/2020,86538,N/A
02/2020,86540,N/A
02/2020,86544,N/A
02/2020,86545,N/A
02/2020,86547,N/A
02/2020,86556,N/A
03/2020,04001,0.45
03/2020,85920,0.45
