Month,Zipcode,Crime rate per 1000
05/2021,85323,4.54
05/2021,85392,4.54
06/2021,85323,4.17
06/2021,85392,4.17
07/2021,85323,4.6
07/2021,85392,4.6
08/2021,85323,4.91
08/2021,85392,4.91
09/2021,85323,4.74
09/2021,85392,4.74
10/2021,85323,4.87
10/2021,85392,4.87
11/2021,85323,5.0
11/2021,85392,5.0
12/2021,85323,4.8
12/2021,85392,4.8
01/2022,85323,5.22
01/2022,85392,5.22
02/2022,85323,4.48
02/2022,85392,4.48
03/2022,85323,5.52
03/2022,85392,5.52
04/2022,85323,4.54
04/2022,85392,4.54
05/2022,85323,4.19
05/2022,85392,4.19
06/2022,85323,3.71
06/2022,85392,3.71
07/2022,85323,4.22
07/2022,85392,4.22
08/2022,85323,4.4
08/2022,85392,4.4
09/2022,85323,3.97
09/2022,85392,3.97
10/2022,85323,3.8
10/2022,85392,3.8
11/2022,85323,3.3
11/2022,85392,3.3
12/2022,85323,3.82
12/2022,85392,3.82
01/2023,85323,3.73
01/2023,85392,3.73
02/2023,85323,3.68
02/2023,85392,3.68
03/2023,85323,3.63
03/2023,85392,3.63
04/2023,85323,4.12
04/2023,85392,4.12
05/2023,85323,3.73
05/2023,85392,3.73
06/2023,85323,3.88
06/2023,85392,3.88
07/2023,85323,3.6
07/2023,85392,3.6
08/2023,85323,3.93
08/2023,85392,3.93
09/2023,85323,3.78
09/2023,85392,3.78
10/2023,85323,3.46
10/2023,85392,3.46
11/2023,85323,3.16
11/2023,85392,3.16
12/2023,85323,3.32
12/2023,85392,3.32
01/2018,85280,0.48
01/2018,85281,0.48
01/2018,85282,0.48
01/2018,85283,0.48
01/2018,85284,0.48
01/2018,85285,0.48
01/2018,85287,0.48
01/2018,85288,0.48
01/2018,85289,0.48
02/2018,85280,0.51
02/2018,85281,0.51
02/2018,85282,0.51
02/2018,85283,0.51
02/2018,85284,0.51
02/2018,85285,0.51
02/2018,85287,0.51
02/2018,85288,0.51
02/2018,85289,0.51
03/2018,85280,0.49
03/2018,85281,0.49
03/2018,85282,0.49
03/2018,85283,0.49
03/2018,85284,0.49
03/2018,85285,0.49
03/2018,85287,0.49
03/2018,85288,0.49
03/2018,85289,0.49
04/2018,85280,0.5
04/2018,85281,0.5
04/2018,85282,0.5
04/2018,85283,0.5
04/2018,85284,0.5
04/2018,85285,0.5
04/2018,85287,0.5
04/2018,85288,0.5
04/2018,85289,0.5
05/2018,85280,0.4
05/2018,85281,0.4
05/2018,85282,0.4
05/2018,85283,0.4
05/2018,85284,0.4
05/2018,85285,0.4
05/2018,85287,0.4
05/2018,85288,0.4
05/2018,85289,0.4
06/2018,85280,0.14
06/2018,85281,0.14
06/2018,85282,0.14
06/2018,85283,0.14
06/2018,85284,0.14
06/2018,85285,0.14
06/2018,85287,0.14
06/2018,85288,0.14
06/2018,85289,0.14
07/2018,85280,0.18
07/2018,85281,0.18
07/2018,85282,0.18
07/2018,85283,0.18
07/2018,85284,0.18
07/2018,85285,0.18
07/2018,85287,0.18
07/2018,85288,0.18
07/2018,85289,0.18
08/2018,85280,0.58
08/2018,85281,0.58
08/2018,85282,0.58
08/2018,85283,0.58
08/2018,85284,0.58
08/2018,85285,0.58
08/2018,85287,0.58
08/2018,85288,0.58
08/2018,85289,0.58
09/2018,85280,0.53
09/2018,85281,0.53
09/2018,85282,0.53
09/2018,85283,0.53
09/2018,85284,0.53
09/2018,85285,0.53
09/2018,85287,0.53
09/2018,85288,0.53
09/2018,85289,0.53
10/2018,85280,0.71
10/2018,85281,0.71
10/2018,85282,0.71
10/2018,85283,0.71
10/2018,85284,0.71
10/2018,85285,0.71
10/2018,85287,0.71
10/2018,85288,0.71
10/2018,85289,0.71
11/2018,85280,0.54
11/2018,85281,0.54
11/2018,85282,0.54
11/2018,85283,0.54
11/2018,85284,0.54
11/2018,85285,0.54
11/2018,85287,0.54
11/2018,85288,0.54
11/2018,85289,0.54
12/2018,85280,0.21
12/2018,85281,0.21
12/2018,85282,0.21
12/2018,85283,0.21
12/2018,85284,0.21
12/2018,85285,0.21
12/2018,85287,0.21
12/2018,85288,0.21
12/2018,85289,0.21
01/2019,85280,0.44
01/2019,85281,0.44
01/2019,85282,0.44
01/2019,85283,0.44
01/2019,85284,0.44
01/2019,85285,0.44
01/2019,85287,0.44
01/2019,85288,0.44
01/2019,85289,0.44
02/2019,85280,0.35
02/2019,85281,0.35
02/2019,85282,0.35
02/2019,85283,0.35
02/2019,85284,0.35
02/2019,85285,0.35
02/2019,85287,0.35
02/2019,85288,0.35
02/2019,85289,0.35
03/2019,85280,0.32
03/2019,85281,0.32
03/2019,85282,0.32
03/2019,85283,0.32
03/2019,85284,0.32
03/2019,85285,0.32
03/2019,85287,0.32
03/2019,85288,0.32
03/2019,85289,0.32
04/2019,85280,0.45
04/2019,85281,0.45
04/2019,85282,0.45
04/2019,85283,0.45
04/2019,85284,0.45
04/2019,85285,0.45
04/2019,85287,0.45
04/2019,85288,0.45
04/2019,85289,0.45
05/2019,85280,0.31
05/2019,85281,0.31
05/2019,85282,0.31
05/2019,85283,0.31
05/2019,85284,0.31
05/2019,85285,0.31
05/2019,85287,0.31
05/2019,85288,0.31
05/2019,85289,0.31
06/2019,85280,0.19
06/2019,85281,0.19
06/2019,85282,0.19
06/2019,85283,0.19
06/2019,85284,0.19
06/2019,85285,0.19
06/2019,85287,0.19
06/2019,85288,0.19
06/2019,85289,0.19
07/2019,85280,0.2
07/2019,85281,0.2
07/2019,85282,0.2
07/2019,85283,0.2
07/2019,85284,0.2
07/2019,85285,0.2
07/2019,85287,0.2
07/2019,85288,0.2
07/2019,85289,0.2
08/2019,85280,0.39
08/2019,85281,0.39
08/2019,85282,0.39
08/2019,85283,0.39
08/2019,85284,0.39
08/2019,85285,0.39
08/2019,85287,0.39
08/2019,85288,0.39
08/2019,85289,0.39
09/2019,85280,0.65
09/2019,85281,0.65
09/2019,85282,0.65
09/2019,85283,0.65
09/2019,85284,0.65
09/2019,85285,0.65
09/2019,85287,0.65
09/2019,85288,0.65
09/2019,85289,0.65
10/2019,85280,0.52
10/2019,85281,0.52
10/2019,85282,0.52
10/2019,85283,0.52
10/2019,85284,0.52
