Zipcode,Year,Crime rate per 1000
85280,2020,63.19
85280,2021,76.55
85280,2022,77.55
85280,2023,64.83
85281,2018,68.2
85281,2019,64.49
85281,2020,63.19
85281,2021,76.55
85281,2022,77.55
85281,2023,64.83
85282,2018,68.2
85282,2019,64.49
85282,2020,63.19
85282,2021,76.55
85282,2022,77.55
85282,2023,64.83
85283,2018,68.2
85283,2019,64.49
85283,2020,63.19
85283,2021,76.55
85283,2022,77.55
85283,2023,64.83
85284,2018,68.2
85284,2019,64.49
85284,2020,63.19
85284,2021,76.55
85284,2022,77.55
85284,2023,64.83
85285,2018,68.2
85285,2019,64.49
85285,2020,63.19
85285,2021,76.55
85285,2022,77.55
85285,2023,64.83
85286,2018,33.45
85286,2019,32.57
85286,2020,31.1
85286,2021,29.37
85286,2022,30.23
85286,2023,25.89
85287,2018,68.2
85287,2019,64.49
85287,2020,63.19
85287,2021,76.55
85287,2022,77.55
85287,2023,64.83
85288,2018,68.2
85288,2019,64.49
85288,2020,63.19
85288,2021,76.55
85288,2022,77.55
85288,2023,64.83
85289,2018,66.09
85289,2019,62.3
85289,2020,61.1
85289,2021,74.34
85289,2022,75.65
85289,2023,63.14
85295,2018,22.36
85295,2019,21.33
85295,2020,21.78
85295,2021,21.07
85295,2022,20.33
85295,2023,20.05
85296,2018,22.36
85296,2019,21.33
85296,2020,21.78
85296,2021,21.07
85296,2022,20.33
85296,2023,20.05
85297,2018,22.36
85297,2019,21.33
85297,2020,21.78
85297,2021,21.07
85297,2022,20.33
85297,2023,20.05
85298,2018,22.36
85298,2019,21.33
85298,2020,21.78
85298,2021,21.07
85298,2022,20.33
85298,2023,20.05
85299,2018,22.36
85299,2019,21.33
85299,2020,21.78
85299,2021,21.07
85299,2022,20.33
85299,2023,20.05
85301,2018,61.48
85301,2019,52.1
85301,2020,50.64
85301,2021,55.01
85301,2022,57.04
85301,2023,54.29
85302,2018,61.48
85302,2019,52.1
85302,2020,50.64
85302,2021,55.01
85302,2022,57.04
85302,2023,54.29
85303,2018,61.48
85303,2019,52.1
85303,2020,50.64
85303,2021,55.01
85303,2022,57.04
85303,2023,54.29
85304,2018,61.48
85304,2019,52.1
85304,2020,50.64
85304,2021,55.01
85304,2022,57.04
85304,2023,54.29
85305,2018,61.48
85305,2019,52.1
85305,2020,50.64
85305,2021,55.01
85305,2022,57.04
85305,2023,54.29
85306,2018,61.48
85306,2019,52.1
85306,2020,50.64
85306,2021,55.01
85306,2022,57.04
85306,2023,54.29
85307,2018,61.48
85307,2019,52.1
85307,2020,50.64
85307,2021,55.01
85307,2022,57.04
85307,2023,54.29
85308,2018,61.48
85308,2019,52.1
85308,2020,50.64
85308,2021,55.01
85308,2022,57.04
85308,2023,54.29
85309,2018,61.48
85309,2019,52.1
85309,2020,50.64
85309,2021,55.01
85309,2022,57.04
85309,2023,54.29
85310,2018,61.48
85310,2019,52.1
85310,2020,50.64
85310,2021,55.01
85310,2022,57.04
85310,2023,54.29
85311,2018,61.48
85311,2019,52.1
85311,2020,50.64
85311,2021,55.01
85311,2022,57.04
85311,2023,54.29
85312,2018,61.48
85312,2019,52.1
85312,2020,50.64
85312,2021,55.01
85312,2022,57.04
85312,2023,54.29
85313,2018,59.37
