RegionName,2018,2019,2020,2021,2022,2023
1093,332009.0070773706,338489.5601024665,343726.4264374236,399595.18546050834,441750.71008978086,457868.6324069239
1095,294386.8717166739,303599.2893222416,316368.11202911055,357367.0127604892,394831.2457540082,414136.0917048868
1096,272214.9204523595,277145.8832314305,293520.76986889105,334088.2823932081,373269.9562515704,392314.0176576388
1098,261871.8038088772,266903.82828041184,276810.4958267591,315890.58676412766,351547.82557197247,366108.0733756514
1103,77296.497047601,83991.8702311598,87987.19688923728,105434.06797242737,124696.4403300386,137454.32353901476
1104,149160.98215441967,160589.24518425803,176730.74200311303,213340.9778209561,239437.15040772795,249433.99016459903
1105,113410.03071236478,126802.87011295736,145288.16952049467,182514.0865593314,208550.6723128256,222077.23830927105
1106,338780.0261918456,341563.810203405,358315.0523805651,403637.8619349373,441163.36221905285,466889.26587154623
1107,162995.99357155233,174895.6280071909,191999.8906843471,230826.41672437763,258272.2584312896,269119.0344406474
1108,162590.40233966705,173008.73886285536,187953.7262777224,225177.31394455797,252174.26528329507,262357.9069088839
1109,135579.39934686353,147937.67962523163,164597.72434047415,200396.3970408681,224566.91517973927,235256.7848060355
1118,178591.43481068907,187394.50289396156,203604.0594564981,243206.1462774657,270762.2870600111,283818.23101552954
1119,168048.95284264695,177132.20243425155,192986.2467524838,230626.8160733708,257955.8071043458,271072.2235905526
1128,189908.1935870055,198953.9262277428,215218.50365933625,253370.090960126,281169.9477410644,294881.5245572009
1129,177784.17689360274,185454.8091122167,201886.0967626281,240204.75359675605,267006.24467686715,281119.3614929429
1151,148083.43578860126,160077.54566106523,177020.30226425958,215432.2559736322,238673.0656017744,248376.2266770336
1201,173419.34860716714,181424.81324723663,193988.34524729976,225298.1063843417,257540.95649622983,276670.5654672531
1220,144417.164011356,148457.82672056768,156723.9350712226,182728.7882509484,208541.02048747937,223888.16086061244
1222,233723.44519036464,241876.45009232627,262488.0352052556,316452.4819524514,367954.2749029684,393063.8935939165
1223,216535.24913606816,227026.63003304,239984.1077559402,289537.9730965483,328319.1944263573,348042.5387808569
1224,N/A,N/A,206621.08496382943,239655.44672366252,277017.85328935995,290087.1998785621
1225,207405.9206557607,213312.7385280111,226340.28449110404,263953.2931920782,304054.8714346118,326819.5453739778
1226,201588.25913237804,208429.66574937664,221391.13165589256,256013.3291855818,290865.9043738383,311363.6583206319
1230,341894.6774712271,353355.27182430815,374310.7796085552,463804.6286982597,548124.2199718055,582175.682855334
1235,214845.53548025727,223106.15632915476,236021.3745975005,278781.6491187412,316803.71332251286,334601.4795698346
1236,363813.3120204416,375216.8364625827,391665.0850278899,474203.4091234031,555774.369047389,585977.1305128003
1237,218832.1234041872,223928.94386605328,239383.46580871695,279767.4512117302,322783.5143770004,339647.08896243206
1238,247872.98728250916,254968.34944554511,268416.2362428875,314566.33806782257,360840.8211607297,386273.0237117499
1240,346889.4043820056,357828.0092825656,367491.61909134826,440829.27370264026,524199.6800517752,563147.9664844206
1243,222693.15533462807,225588.9213869707,238131.2986133265,274897.5532414243,306472.27127568505,314296.6823353167
1245,446768.2791210644,463343.0782436144,481350.2481423165,596463.4778977673,685991.8462432303,698530.4026639032
1247,139719.87994793922,145062.05018750136,155853.37995482105,184276.8452808397,210029.22289847545,223034.43118321465
1253,297454.6227446859,301731.00155977707,319304.8208492898,383881.19463366736,443151.9333154466,469958.17943982105
1254,378913.3951151222,388271.5393633893,401963.0571997732,490694.7340068231,565061.609206351,590830.2213479556
1255,270777.7291867114,276893.255603924,286686.5366361469,337283.3280793109,388357.8977506412,407127.91431718
1256,N/A,N/A,207518.99405593684,252422.9061151473,284908.5164755972,296223.9787159809
1257,288317.91371223406,295145.41170844954,317159.88733889605,395147.1044636287,478629.7039720721,511586.6729220291
