2018,2019,2020,2021,2022,2023,zipcode
69432.0,58646.0,58668.0,61840.0,78077.0,84583.0,1222
75852.0,75250.0,66161.0,64750.0,79226.0,82773.0,1223
37576.0,77717.0,N/A,N/A,N/A,N/A,1224
68264.0,71081.0,72119.0,69069.0,72485.0,72028.0,1225
59875.0,68915.0,73911.0,72664.0,76198.0,81168.0,1226
67674.0,69328.0,68690.0,71281.0,73884.0,82871.0,1230
66581.0,63947.0,67404.0,66516.0,71641.0,76699.0,1235
65833.0,64048.0,63696.0,77588.0,113958.0,91172.0,1236
78194.0,67625.0,76579.0,78413.0,86300.0,84419.0,1237
72744.0,73333.0,77455.0,69840.0,77679.0,74469.0,1238
72766.0,68393.0,72802.0,72200.0,82578.0,99745.0,1240
85789.0,N/A,N/A,N/A,N/A,N/A,1242
69167.0,49643.0,62708.0,74688.0,79167.0,89063.0,1243
55417.0,51538.0,50104.0,53462.0,56842.0,59655.0,1244
75167.0,80417.0,109063.0,101488.0,111354.0,113750.0,1245
41807.0,44721.0,52398.0,51959.0,53692.0,55544.0,1247
77375.0,85417.0,88487.0,93625.0,102596.0,108068.0,1253
85313.0,91484.0,96563.0,97500.0,91667.0,113304.0,1254
69135.0,71023.0,77000.0,76750.0,73958.0,85417.0,1255
60197.0,58125.0,47200.0,51250.0,54219.0,55000.0,1256
94625.0,100909.0,64375.0,64531.0,78940.0,80227.0,1257
67500.0,67500.0,74375.0,92917.0,117917.0,127813.0,1258
60625.0,68438.0,78625.0,110417.0,120568.0,125795.0,1259
115208.0,118508.0,107614.0,123367.0,N/A,N/A,1260
31144.0,29659.0,39286.0,51875.0,75804.0,142679.0,1262
66875.0,71250.0,68750.0,73333.0,78750.0,85313.0,1264
71989.0,73906.0,77500.0,85406.0,85714.0,98828.0,1266
82863.0,83939.0,91917.0,95360.0,101823.0,98750.0,1267
83333.0,85417.0,86912.0,99063.0,100833.0,104961.0,1270
49312.0,50889.0,46931.0,52569.0,53536.0,54347.0,1301
71346.0,70761.0,72609.0,74355.0,80560.0,81691.0,1330
57164.0,57987.0,61949.0,61990.0,66985.0,68345.0,1331
67470.0,66771.0,69853.0,75938.0,79000.0,79274.0,1337
60625.0,60347.0,64667.0,57344.0,56250.0,N/A,1338
61500.0,64813.0,60438.0,65139.0,69500.0,72841.0,1339
55980.0,62500.0,60313.0,64097.0,74632.0,82578.0,1340
100417.0,96563.0,92500.0,86875.0,92500.0,93250.0,1341
77202.0,85341.0,103000.0,99732.0,99583.0,100917.0,1342
76250.0,71625.0,73125.0,74545.0,76250.0,84271.0,1343
61359.0,62727.0,63333.0,66319.0,70560.0,74550.0,1344
63036.0,69375.0,93400.0,99082.0,105944.0,111150.0,1346
54250.0,53846.0,N/A,67500.0,74712.0,72500.0,1347
64219.0,65536.0,75417.0,63717.0,70240.0,69712.0,1349
26458.0,28750.0,N/A,N/A,N/A,64375.0,1350
78849.0,81042.0,97054.0,100078.0,96389.0,99375.0,1351
67083.0,67917.0,68173.0,72500.0,79135.0,90000.0,1354
68250.0,65875.0,69038.0,72064.0,76739.0,80327.0,1355
72083.0,75875.0,75900.0,83750.0,94775.0,102470.0,1360
46405.0,50890.0,53949.0,53039.0,55773.0,54061.0,1364
68405.0,71484.0,71818.0,77500.0,104205.0,107656.0,1366
54500.0,63750.0,69375.0,67500.0,78125.0,89375.0,1367
72083.0,76250.0,86607.0,89417.0,98542.0,101875.0,1368
57083.0,62966.0,61711.0,69643.0,74680.0,76715.0,1370
73639.0,78382.0,82105.0,83826.0,96546.0,102578.0,1373
61102.0,55625.0,54524.0,58750.0,59185.0,61442.0,1375
41496.0,40913.0,41369.0,50921.0,53671.0,57857.0,1376
56250.0,59375.0,68839.0,75179.0,89643.0,95000.0,1378
44531.0,53750.0,62813.0,60372.0,66290.0,68750.0,1379
N/A,N/A,N/A,72500.0,N/A,70893.0,1380
55277.0,57207.0,54683.0,60390.0,65599.0,70334.0,1420
97561.0,95037.0,113045.0,103762.0,111801.0,115146.0,1430
101357.0,97958.0,97269.0,95536.0,105750.0,110536.0,1431
91156.0,94375.0,99195.0,97097.0,99375.0,105142.0,1432
66477.0,92426.0,96500.0,140391.0,106875.0,109651.0,1434
58458.0,73169.0,70662.0,75833.0,90225.0,88421.0,1436
117917.0,119808.0,100579.0,77381.0,83953.0,N/A,1438
50239.0,49679.0,51708.0,53400.0,57289.0,63526.0,1440
126883.0,129085.0,142500.0,169643.0,186750.0,189355.0,1450
155515.0,162619.0,177422.0,174444.0,199191.0,206607.0,1451
95530.0,91734.0,100255.0,105938.0,114922.0,102344.0,1452
58205.0,61887.0,63263.0,69525.0,75954.0,82098.0,1453
120638.0,123413.0,125275.0,140511.0,151488.0,146250.0,1460
101510.0,103228.0,99601.0,101540.0,106473.0,109884.0,1462
96750.0,104130.0,105377.0,111827.0,124052.0,126824.0,1463
70542.0,76875.0,89247.0,111875.0,114118.0,121875.0,1464
96806.0,N/A,N/A,N/A,N/A,N/A,1467
70438.0,73246.0,82173.0,98925.0,106581.0,110938.0,1468
83602.0,91964.0,97730.0,103984.0,100402.0,113162.0,1469
98714.0,100972.0,98555.0,107738.0,95674.0,101161.0,1473
96750.0,90302.0,94554.0,108068.0,117109.0,130156.0,1474
71895.0,80267.0,81582.0,85000.0,85379.0,85638.0,1475
83441.0,85432.0,83265.0,94267.0,101992.0,101929.0,1501
104063.0,99297.0,104432.0,106908.0,123077.0,122411.0,1503
86513.0,95375.0,90665.0,89129.0,95132.0,98986.0,1504
98520.0,97591.0,106100.0,127833.0,133292.0,124732.0,1505
68125.0,70338.0,70610.0,75329.0,71122.0,71875.0,1506
97805.0,101111.0,102531.0,106558.0,113896.0,119809.0,1507
66094.0,67634.0,75455.0,84938.0,89888.0,93849.0,1510
84444.0,82946.0,75347.0,70660.0,77122.0,76382.0,1515
