year,zip,median_income,crime_rate_per_1000,business_count,avg_house_price
2018,85031,35706.0,57.67,N/A,174575.82
2019,85031,40584.0,56.76,N/A,196414.61
2020,85031,50740.0,51.71,N/A,223863.36
2021,85031,56185.0,56.86,N/A,279396.56
2022,85031,60741.0,53.64,N/A,344413.09
2023,85031,59641.0,48.42,N/A,332812.36
2018,85032,54161.0,57.67,N/A,262280.87
2019,85032,57570.0,56.76,N/A,279068.3
2020,85032,59214.0,51.71,N/A,310758.75
2021,85032,62805.0,56.86,N/A,383335.26
2022,85032,69942.0,53.64,N/A,463788.02
2023,85032,74331.0,48.42,N/A,445400.76
2018,85033,39443.0,57.67,N/A,175169.95
2019,85033,42603.0,56.76,N/A,196520.85
2020,85033,45492.0,51.71,N/A,222365.34
2021,85033,51028.0,56.86,N/A,278680.42
2022,85033,57045.0,53.64,N/A,346218.98
2023,85033,60749.0,48.42,N/A,329339.41
2018,85034,27391.0,57.67,N/A,135623.44
2019,85034,30130.0,56.76,N/A,155100.6
2020,85034,33140.0,51.71,N/A,187101.24
2021,85034,37981.0,56.86,N/A,232698.04
2022,85034,42177.0,53.64,N/A,276410.42
2023,85034,53545.0,48.42,N/A,263586.92
2018,85035,41396.0,57.67,N/A,172088.46
2019,85035,45528.0,56.76,N/A,193533.56
2020,85035,45754.0,51.71,N/A,220162.99
2021,85035,48632.0,56.86,N/A,274497.25
2022,85035,53633.0,53.64,N/A,342668.13
2023,85035,57790.0,48.42,N/A,328938.91
2018,85036,N/A,57.67,N/A,N/A
2019,85036,N/A,56.76,N/A,N/A
2020,85036,N/A,51.71,N/A,N/A
2021,85036,N/A,56.86,N/A,N/A
2022,85036,N/A,53.64,N/A,N/A
2023,85036,N/A,48.42,N/A,N/A
2018,85037,56370.0,57.67,N/A,193189.47
2019,85037,58694.0,56.76,N/A,212161.58
2020,85037,61318.0,51.71,N/A,237254.44
2021,85037,65733.0,56.86,N/A,300821.37
2022,85037,75281.0,53.64,N/A,376232.47
2023,85037,81919.0,48.42,N/A,356686.14
2018,85038,N/A,57.67,N/A,N/A
2019,85038,N/A,56.76,N/A,N/A
2020,85038,N/A,51.71,N/A,N/A
2021,85038,N/A,56.86,N/A,N/A
2022,85038,N/A,53.64,N/A,N/A
2023,85038,N/A,48.42,N/A,N/A
2018,85039,N/A,55.56,N/A,N/A
2019,85039,N/A,54.57,N/A,N/A
2020,85039,N/A,49.62,N/A,N/A
2021,85039,N/A,54.65,N/A,N/A
2022,85039,N/A,51.74,N/A,N/A
2023,85039,N/A,46.73,N/A,N/A
2018,85040,38543.0,57.67,N/A,176488.79
2019,85040,41418.0,56.76,N/A,198636.97
2020,85040,43127.0,51.71,N/A,225891.66
2021,85040,48403.0,56.86,N/A,280360.93
2022,85040,55771.0,53.64,N/A,342880.13
2023,85040,57890.0,48.42,N/A,328206.5
2018,85041,53597.0,57.67,N/A,204281.89
2019,85041,54546.0,56.76,N/A,224150.4
2020,85041,58438.0,51.71,N/A,252159.08
2021,85041,59416.0,56.86,N/A,321565.59
2022,85041,65345.0,53.64,N/A,399784.57
2023,85041,70555.0,48.42,N/A,374331.01
2018,85042,53824.0,57.67,N/A,226799.73
2019,85042,60644.0,56.76,N/A,246105.72
