zipcode,2018,2019,2020,2021,2022,2023
01118,61786.0,63571.0,70296.0,70295.0,78354.0,80906.0
01119,44091.0,46985.0,48324.0,50729.0,54326.0,59172.0
01128,61875.0,61659.0,67422.0,79015.0,77050.0,92125.0
01129,61645.0,58621.0,61769.0,75944.0,80352.0,92500.0
01151,41002.0,43128.0,44291.0,47234.0,51410.0,57113.0
01201,49385.0,52223.0,57160.0,60060.0,67262.0,68879.0
01220,49301.0,53223.0,47908.0,49691.0,54677.0,56285.0
01222,69432.0,58646.0,58668.0,61840.0,78077.0,84583.0
01223,75852.0,75250.0,66161.0,64750.0,79226.0,82773.0
01224,37576.0,77717.0,,,,
01225,68264.0,71081.0,72119.0,69069.0,72485.0,72028.0
01226,59875.0,68915.0,73911.0,72664.0,76198.0,81168.0
01230,67674.0,69328.0,68690.0,71281.0,73884.0,82871.0
01235,66581.0,63947.0,67404.0,66516.0,71641.0,76699.0
01236,65833.0,64048.0,63696.0,77588.0,113958.0,91172.0
01237,78194.0,67625.0,76579.0,78413.0,86300.0,84419.0
01238,72744.0,73333.0,77455.0,69840.0,77679.0,74469.0
01240,72766.0,68393.0,72802.0,72200.0,82578.0,99745.0
01242,85789.0,,,,,
01243,69167.0,49643.0,62708.0,74688.0,79167.0,89063.0
01244,55417.0,51538.0,50104.0,53462.0,56842.0,59655.0
01245,75167.0,80417.0,109063.0,101488.0,111354.0,113750.0
01247,41807.0,44721.0,52398.0,51959.0,53692.0,55544.0
01253,77375.0,85417.0,88487.0,93625.0,102596.0,108068.0
01254,85313.0,91484.0,96563.0,97500.0,91667.0,113304.0
01255,69135.0,71023.0,77000.0,76750.0,73958.0,85417.0
01256,60197.0,58125.0,47200.0,51250.0,54219.0,55000.0
01257,94625.0,100909.0,64375.0,64531.0,78940.0,80227.0
01258,67500.0,67500.0,74375.0,92917.0,117917.0,127813.0
01259,60625.0,68438.0,78625.0,110417.0,120568.0,125795.0
01260,115208.0,118508.0,107614.0,123367.0,,
01262,31144.0,29659.0,39286.0,51875.0,75804.0,142679.0
01264,66875.0,71250.0,68750.0,73333.0,78750.0,85313.0
01266,71989.0,73906.0,77500.0,85406.0,85714.0,98828.0
01267,82863.0,83939.0,91917.0,95360.0,101823.0,98750.0
01270,83333.0,85417.0,86912.0,99063.0,100833.0,104961.0
01301,49312.0,50889.0,46931.0,52569.0,53536.0,54347.0
01330,71346.0,70761.0,72609.0,74355.0,80560.0,81691.0
01331,57164.0,57987.0,61949.0,61990.0,66985.0,68345.0
01337,67470.0,66771.0,69853.0,75938.0,79000.0,79274.0
01338,60625.0,60347.0,64667.0,57344.0,56250.0,
01339,61500.0,64813.0,60438.0,65139.0,69500.0,72841.0
01340,55980.0,62500.0,60313.0,64097.0,74632.0,82578.0
01341,100417.0,96563.0,92500.0,86875.0,92500.0,93250.0
01342,77202.0,85341.0,103000.0,99732.0,99583.0,100917.0
01343,76250.0,71625.0,73125.0,74545.0,76250.0,84271.0
01344,61359.0,62727.0,63333.0,66319.0,70560.0,74550.0
01346,63036.0,69375.0,93400.0,99082.0,105944.0,111150.0
01347,54250.0,53846.0,,67500.0,74712.0,72500.0
01349,64219.0,65536.0,75417.0,63717.0,70240.0,69712.0
01350,26458.0,28750.0,,,,64375.0
01351,78849.0,81042.0,97054.0,100078.0,96389.0,99375.0
01354,67083.0,67917.0,68173.0,72500.0,79135.0,90000.0
01355,68250.0,65875.0,69038.0,72064.0,76739.0,80327.0
01360,72083.0,75875.0,75900.0,83750.0,94775.0,102470.0
01364,46405.0,50890.0,53949.0,53039.0,55773.0,54061.0
01366,68405.0,71484.0,71818.0,77500.0,104205.0,107656.0
01367,54500.0,63750.0,69375.0,67500.0,78125.0,89375.0
01368,72083.0,76250.0,86607.0,89417.0,98542.0,101875.0
01370,57083.0,62966.0,61711.0,69643.0,74680.0,76715.0
01373,73639.0,78382.0,82105.0,83826.0,96546.0,102578.0
01375,61102.0,55625.0,54524.0,58750.0,59185.0,61442.0
01376,41496.0,40913.0,41369.0,50921.0,53671.0,57857.0
01378,56250.0,59375.0,68839.0,75179.0,89643.0,95000.0
01379,44531.0,53750.0,62813.0,60372.0,66290.0,68750.0
01380,,,,72500.0,,70893.0
01420,55277.0,57207.0,54683.0,60390.0,65599.0,70334.0
01430,97561.0,95037.0,113045.0,103762.0,111801.0,115146.0
01431,101357.0,97958.0,97269.0,95536.0,105750.0,110536.0
01432,91156.0,94375.0,99195.0,97097.0,99375.0,105142.0
01434,66477.0,92426.0,96500.0,140391.0,106875.0,109651.0
01436,58458.0,73169.0,70662.0,75833.0,90225.0,88421.0
01438,117917.0,119808.0,100579.0,77381.0,83953.0,
01440,50239.0,49679.0,51708.0,53400.0,57289.0,63526.0
01450,126883.0,129085.0,142500.0,169643.0,186750.0,189355.0
01451,155515.0,162619.0,177422.0,174444.0,199191.0,206607.0
01452,95530.0,91734.0,100255.0,105938.0,114922.0,102344.0
01453,58205.0,61887.0,63263.0,69525.0,75954.0,82098.0
01460,120638.0,123413.0,125275.0,140511.0,151488.0,146250.0
01462,101510.0,103228.0,99601.0,101540.0,106473.0,109884.0
01463,96750.0,104130.0,105377.0,111827.0,124052.0,126824.0
01464,70542.0,76875.0,89247.0,111875.0,114118.0,121875.0
01467,96806.0,,,,,
01468,70438.0,73246.0,82173.0,98925.0,106581.0,110938.0
01469,83602.0,91964.0,97730.0,103984.0,100402.0,113162.0
01473,98714.0,100972.0,98555.0,107738.0,95674.0,101161.0
01474,96750.0,90302.0,94554.0,108068.0,117109.0,130156.0
01475,71895.0,80267.0,81582.0,85000.0,85379.0,85638.0
01501,83441.0,85432.0,83265.0,94267.0,101992.0,101929.0
01503,104063.0,99297.0,104432.0,106908.0,123077.0,122411.0
01504,86513.0,95375.0,90665.0,89129.0,95132.0,98986.0
01505,98520.0,97591.0,106100.0,127833.0,133292.0,124732.0
01506,68125.0,70338.0,70610.0,75329.0,71122.0,71875.0
01507,97805.0,101111.0,102531.0,106558.0,113896.0,119809.0
01510,66094.0,67634.0,75455.0,84938.0,89888.0,93849.0
01515,84444.0,82946.0,75347.0,70660.0,77122.0,76382.0
01516,95567.0,99943.0,117250.0,133854.0,138276.0,147859.0
01518,64732.0,72470.0,72713.0,78673.0,102500.0,111193.0
01519,106644.0,109670.0,114226.0,128824.0,144452.0,153750.0
01520,105772.0,109529.0,116107.0,128245.0,141508.0,147582.0
01521,81680.0,82179.0,77054.0,82500.0,81250.0,86806.0
01522,101089.0,108036.0,104040.0,109867.0,116894.0,118824.0
01523,103857.0,93385.0,97394.0,109651.0,111506.0,130444.0
01524,71645.0,81042.0,80649.0,80702.0,88933.0,93191.0
01525,40888.0,40947.0,52750.0,,,
01527,81804.0,85781.0,92556.0,96672.0,109119.0,116000.0
01529,78704.0,79129.0,79647.0,82131.0,95144.0,115789.0
01531,89167.0,91125.0,90489.0,86667.0,99318.0,99375.0
01532,113608.0,128613.0,140600.0,148010.0,160801.0,174358.0
01534,92181.0,102284.0,100819.0,115439.0,123370.0,134539.0
01535,73599.0,78750.0,73208.0,77313.0,80380.0,81010.0
01536,108175.0,109329.0,102756.0,89886.0,103793.0,105795.0
01537,76389.0,64975.0,76859.0,61514.0,67750.0,94261.0
01540,68750.0,77184.0,85813.0,110195.0,100757.0,118389.0
01541,134191.0,136083.0,129097.0,148438.0,163750.0,150577.0
01542,107806.0,106250.0,88750.0,88295.0,106719.0,107674.0
01543,104050.0,107928.0,124890.0,132000.0,150685.0,155504.0
01545,106108.0,105014.0,108870.0,117909.0,127088.0,136225.0
01550,50787.0,51270.0,52900.0,50414.0,55182.0,59397.0
01560,79583.0,88750.0,86146.0,89779.0,94464.0,98884.0
01562,71830.0,72821.0,70265.0,68559.0,76225.0,79086.0
01564,107348.0,121458.0,122810.0,119000.0,131058.0,136027.0
01566,100600.0,86731.0,105294.0,105417.0,122844.0,135802.0
01568,123942.0,128796.0,126442.0,141250.0,147198.0,161429.0
01569,101266.0,107740.0,109179.0,115304.0,124057.0,122458.0
01570,57924.0,62281.0,59844.0,64305.0,70644.0,68934.0
01571,67117.0,69071.0,69659.0,75465.0,87306.0,85179.0
01581,108767.0,112153.0,119148.0,118185.0,133145.0,134474.0
01583,79375.0,90688.0,91696.0,94464.0,97736.0,100427.0
01585,68578.0,63182.0,63295.0,71667.0,69767.0,70753.0
01588,75495.0,76250.0,80434.0,81438.0,88487.0,88735.0
01590,102439.0,104710.0,108971.0,123542.0,138750.0,155938.0
01602,61710.0,64942.0,71239.0,76287.0,86128.0,94351.0
01603,38701.0,42904.0,45969.0,53166.0,58797.0,63646.0
01604,53270.0,55665.0,59123.0,63107.0,68823.0,72911.0
01605,37857.0,40390.0,42683.0,45709.0,51360.0,54805.0
01606,66130.0,65708.0,72050.0,74765.0,82640.0,92537.0
01607,46974.0,39928.0,53838.0,57880.0,63718.0,66365.0
01608,24181.0,31384.0,31504.0,37962.0,41319.0,45962.0
01609,44943.0,45992.0,45679.0,49333.0,58246.0,61411.0
01610,34005.0,33695.0,33326.0,35642.0,39570.0,43757.0
01611,92898.0,98140.0,100375.0,103405.0,113276.0,118389.0
01612,99875.0,120469.0,116313.0,123958.0,130787.0,133750.0
01701,111169.0,111209.0,116971.0,120811.0,124532.0,127000.0
