month/year,zip,median_income,crime_rate_per_1000,business_count,ZHVI
10/2018,85004,35739.0,4.97,N/A,279911.84
11/2018,85004,35739.0,4.63,N/A,281491.13
12/2018,85004,35739.0,4.73,N/A,283113.64
01/2019,85004,41951.0,4.74,N/A,284347.33
02/2019,85004,41951.0,4.16,N/A,284916.94
03/2019,85004,41951.0,4.58,N/A,285165.56
04/2019,85004,41951.0,4.64,N/A,285192.95
05/2019,85004,41951.0,5.01,N/A,285104.07
06/2019,85004,41951.0,4.82,N/A,285074.41
07/2019,85004,41951.0,4.8,N/A,284651.92
08/2019,85004,41951.0,4.9,N/A,284513.69
09/2019,85004,41951.0,4.7,N/A,284407.94
10/2019,85004,41951.0,4.87,N/A,285685.23
11/2019,85004,41951.0,4.6,N/A,288238.71
12/2019,85004,41951.0,4.94,N/A,291371.18
01/2020,85004,52000.0,5.02,N/A,295389.66
02/2020,85004,52000.0,0.19,N/A,299079.68
03/2020,85004,52000.0,4.89,N/A,302898.58
04/2020,85004,52000.0,4.78,N/A,305832.41
05/2020,85004,52000.0,4.89,N/A,308199.38
06/2020,85004,52000.0,4.18,N/A,309124.28
07/2020,85004,52000.0,4.15,N/A,309228.3
08/2020,85004,52000.0,4.58,N/A,309589.55
09/2020,85004,52000.0,4.39,N/A,311692.36
10/2020,85004,52000.0,4.89,N/A,314947.2
11/2020,85004,52000.0,4.8,N/A,318971.76
12/2020,85004,52000.0,4.95,N/A,323410.8
01/2021,85004,59913.0,4.83,N/A,326813.17
02/2021,85004,59913.0,4.73,N/A,330334.44
03/2021,85004,59913.0,4.83,N/A,334812.09
04/2021,85004,59913.0,4.32,N/A,341249.78
05/2021,85004,59913.0,4.67,N/A,349327.47
06/2021,85004,59913.0,4.54,N/A,358831.7
07/2021,85004,59913.0,4.77,N/A,368281.39
08/2021,85004,59913.0,4.93,N/A,376668.66
09/2021,85004,59913.0,4.96,N/A,382460.89
10/2021,85004,59913.0,4.91,N/A,387475.12
11/2021,85004,59913.0,4.72,N/A,392177.0
12/2021,85004,59913.0,4.65,N/A,397107.04
01/2022,85004,67727.0,4.84,N/A,402653.12
02/2022,85004,67727.0,4.32,N/A,409323.06
03/2022,85004,67727.0,4.86,N/A,417727.13
04/2022,85004,67727.0,4.72,N/A,426981.03
05/2022,85004,67727.0,4.85,N/A,436675.77
06/2022,85004,67727.0,4.47,N/A,445438.37
07/2022,85004,67727.0,4.37,N/A,451211.1
08/2022,85004,67727.0,4.42,N/A,452639.51
09/2022,85004,67727.0,4.33,N/A,450050.25
10/2022,85004,67727.0,4.38,N/A,446345.42
11/2022,85004,67727.0,3.92,N/A,442260.36
12/2022,85004,67727.0,4.16,N/A,437965.98
01/2023,85004,71250.0,4.21,N/A,432907.12
02/2023,85004,71250.0,3.72,N/A,428134.44
03/2023,85004,71250.0,4.08,N/A,424545.77
04/2023,85004,71250.0,4.02,N/A,422703.63
05/2023,85004,71250.0,4.24,N/A,422088.28
06/2023,85004,71250.0,3.95,N/A,423375.96
07/2023,85004,71250.0,3.98,N/A,426134.91
08/2023,85004,71250.0,4.1,N/A,429870.53
09/2023,85004,71250.0,4.12,N/A,433835.78
10/2023,85004,71250.0,4.09,N/A,437144.96
11/2023,85004,71250.0,4.02,N/A,439880.15
12/2023,85004,71250.0,3.89,N/A,440382.87
01/2018,85005,N/A,5.17,N/A,N/A
02/2018,85005,N/A,4.55,N/A,N/A
03/2018,85005,N/A,4.63,N/A,N/A
04/2018,85005,N/A,4.92,N/A,N/A
05/2018,85005,N/A,5.01,N/A,N/A
06/2018,85005,N/A,4.61,N/A,N/A
07/2018,85005,N/A,4.84,N/A,N/A
08/2018,85005,N/A,4.83,N/A,N/A
09/2018,85005,N/A,4.78,N/A,N/A
10/2018,85005,N/A,4.97,N/A,N/A
11/2018,85005,N/A,4.63,N/A,N/A
12/2018,85005,N/A,4.73,N/A,N/A
01/2019,85005,N/A,4.74,N/A,N/A
02/2019,85005,N/A,4.16,N/A,N/A
03/2019,85005,N/A,4.58,N/A,N/A
04/2019,85005,N/A,4.64,N/A,N/A
05/2019,85005,N/A,5.01,N/A,N/A
06/2019,85005,N/A,4.82,N/A,N/A
07/2019,85005,N/A,4.8,N/A,N/A
08/2019,85005,N/A,4.9,N/A,N/A
09/2019,85005,N/A,4.7,N/A,N/A
10/2019,85005,N/A,4.87,N/A,N/A
11/2019,85005,N/A,4.6,N/A,N/A
12/2019,85005,N/A,4.94,N/A,N/A
01/2020,85005,N/A,5.02,N/A,N/A
02/2020,85005,N/A,0.19,N/A,N/A
03/2020,85005,N/A,4.89,N/A,N/A
04/2020,85005,N/A,4.78,N/A,N/A
05/2020,85005,N/A,4.89,N/A,N/A
06/2020,85005,N/A,4.18,N/A,N/A
07/2020,85005,N/A,4.15,N/A,N/A
08/2020,85005,N/A,4.58,N/A,N/A
09/2020,85005,N/A,4.39,N/A,N/A
10/2020,85005,N/A,4.89,N/A,N/A
11/2020,85005,N/A,4.8,N/A,N/A
12/2020,85005,N/A,4.95,N/A,N/A
01/2021,85005,N/A,4.83,N/A,N/A
02/2021,85005,N/A,4.73,N/A,N/A
03/2021,85005,N/A,4.83,N/A,N/A
04/2021,85005,N/A,4.32,N/A,N/A
05/2021,85005,N/A,4.67,N/A,N/A
06/2021,85005,N/A,4.54,N/A,N/A
07/2021,85005,N/A,4.77,N/A,N/A
08/2021,85005,N/A,4.93,N/A,N/A
09/2021,85005,N/A,4.96,N/A,N/A
10/2021,85005,N/A,4.91,N/A,N/A
11/2021,85005,N/A,4.72,N/A,N/A
12/2021,85005,N/A,4.65,N/A,N/A
01/2022,85005,N/A,4.84,N/A,N/A
02/2022,85005,N/A,4.32,N/A,N/A
03/2022,85005,N/A,4.86,N/A,N/A
04/2022,85005,N/A,4.72,N/A,N/A
05/2022,85005,N/A,4.85,N/A,N/A
06/2022,85005,N/A,4.47,N/A,N/A
07/2022,85005,N/A,4.37,N/A,N/A
08/2022,85005,N/A,4.42,N/A,N/A
09/2022,85005,N/A,4.33,N/A,N/A
10/2022,85005,N/A,4.38,N/A,N/A
11/2022,85005,N/A,3.92,N/A,N/A
12/2022,85005,N/A,4.16,N/A,N/A
01/2023,85005,N/A,4.21,N/A,N/A
02/2023,85005,N/A,3.72,N/A,N/A
03/2023,85005,N/A,4.08,N/A,N/A
04/2023,85005,N/A,4.02,N/A,N/A
05/2023,85005,N/A,4.24,N/A,N/A
06/2023,85005,N/A,3.95,N/A,N/A
07/2023,85005,N/A,3.98,N/A,N/A
08/2023,85005,N/A,4.1,N/A,N/A
09/2023,85005,N/A,4.12,N/A,N/A
10/2023,85005,N/A,4.09,N/A,N/A
11/2023,85005,N/A,4.02,N/A,N/A
12/2023,85005,N/A,3.89,N/A,N/A
01/2018,85006,35597.0,5.17,N/A,230676.1
02/2018,85006,35597.0,4.55,N/A,233935.24
03/2018,85006,35597.0,4.63,N/A,237061.98
04/2018,85006,35597.0,4.92,N/A,238711.52
05/2018,85006,35597.0,5.01,N/A,240419.8
06/2018,85006,35597.0,4.61,N/A,242412.55
07/2018,85006,35597.0,4.84,N/A,245323.24
08/2018,85006,35597.0,4.83,N/A,248460.95
09/2018,85006,35597.0,4.78,N/A,250934.83
10/2018,85006,35597.0,4.97,N/A,253126.49
11/2018,85006,35597.0,4.63,N/A,255075.09
12/2018,85006,35597.0,4.73,N/A,257170.99
01/2019,85006,38121.0,4.74,N/A,259610.32
02/2019,85006,38121.0,4.16,N/A,262336.47
03/2019,85006,38121.0,4.58,N/A,264841.3
04/2019,85006,38121.0,4.64,N/A,265732.86
05/2019,85006,38121.0,5.01,N/A,265184.54
06/2019,85006,38121.0,4.82,N/A,264585.49
07/2019,85006,38121.0,4.8,N/A,264442.82
08/2019,85006,38121.0,4.9,N/A,264827.72
09/2019,85006,38121.0,4.7,N/A,265635.44
10/2019,85006,38121.0,4.87,N/A,267599.74
11/2019,85006,38121.0,4.6,N/A,270695.13
12/2019,85006,38121.0,4.94,N/A,273973.41
01/2020,85006,43567.0,5.02,N/A,278926.97
02/2020,85006,43567.0,0.19,N/A,286493.7
03/2020,85006,43567.0,4.89,N/A,295790.37
04/2020,85006,43567.0,4.78,N/A,303443.9
05/2020,85006,43567.0,4.89,N/A,307519.32
06/2020,85006,43567.0,4.18,N/A,307777.55
07/2020,85006,43567.0,4.15,N/A,307155.63
08/2020,85006,43567.0,4.58,N/A,307346.15
09/2020,85006,43567.0,4.39,N/A,311105.74
10/2020,85006,43567.0,4.89,N/A,316670.14
11/2020,85006,43567.0,4.8,N/A,323237.19
12/2020,85006,43567.0,4.95,N/A,329643.05
01/2021,85006,46963.0,4.83,N/A,335243.28
02/2021,85006,46963.0,4.73,N/A,341287.96
03/2021,85006,46963.0,4.83,N/A,348547.71
04/2021,85006,46963.0,4.32,N/A,356579.73
05/2021,85006,46963.0,4.67,N/A,364751.16
06/2021,85006,46963.0,4.54,N/A,373011.85
07/2021,85006,46963.0,4.77,N/A,380979.34
08/2021,85006,46963.0,4.93,N/A,387932.89
09/2021,85006,46963.0,4.96,N/A,392711.67
10/2021,85006,46963.0,4.91,N/A,397028.83
11/2021,85006,46963.0,4.72,N/A,401251.75
12/2021,85006,46963.0,4.65,N/A,405388.21
01/2022,85006,54073.0,4.84,N/A,410717.63
02/2022,85006,54073.0,4.32,N/A,417138.72
03/2022,85006,54073.0,4.86,N/A,425745.96
04/2022,85006,54073.0,4.72,N/A,434720.67
05/2022,85006,54073.0,4.85,N/A,444308.39
06/2022,85006,54073.0,4.47,N/A,452078.28
07/2022,85006,54073.0,4.37,N/A,455750.63
08/2022,85006,54073.0,4.42,N/A,454221.87
09/2022,85006,54073.0,4.33,N/A,448762.39
10/2022,85006,54073.0,4.38,N/A,442674.53
11/2022,85006,54073.0,3.92,N/A,435769.82
12/2022,85006,54073.0,4.16,N/A,428627.85
01/2023,85006,60742.0,4.21,N/A,421246.39
02/2023,85006,60742.0,3.72,N/A,415483.36
03/2023,85006,60742.0,4.08,N/A,412183.29
04/2023,85006,60742.0,4.02,N/A,410484.18
05/2023,85006,60742.0,4.24,N/A,409743.86
06/2023,85006,60742.0,3.95,N/A,410684.21
07/2023,85006,60742.0,3.98,N/A,413679.63
08/2023,85006,60742.0,4.1,N/A,418386.96
09/2023,85006,60742.0,4.12,N/A,422544.68
10/2023,85006,60742.0,4.09,N/A,426387.46
11/2023,85006,60742.0,4.02,N/A,429784.53
12/2023,85006,60742.0,3.89,N/A,432233.76
01/2018,85007,32964.0,5.17,N/A,234756.63
02/2018,85007,32964.0,4.55,N/A,238195.76
03/2018,85007,32964.0,4.63,N/A,241039.16
04/2018,85007,32964.0,4.92,N/A,242487.41
05/2018,85007,32964.0,5.01,N/A,243342.34
06/2018,85007,32964.0,4.61,N/A,244275.63
07/2018,85007,32964.0,4.84,N/A,245898.05
08/2018,85007,32964.0,4.83,N/A,247616.45
09/2018,85007,32964.0,4.78,N/A,249439.41
10/2018,85007,32964.0,4.97,N/A,250556.77
11/2018,85007,32964.0,4.63,N/A,251805.5
12/2018,85007,32964.0,4.73,N/A,253134.8
01/2019,85007,34667.0,4.74,N/A,255405.53
02/2019,85007,34667.0,4.16,N/A,258116.85
03/2019,85007,34667.0,4.58,N/A,260195.11
04/2019,85007,34667.0,4.64,N/A,261294.97
05/2019,85007,34667.0,5.01,N/A,261465.78
06/2019,85007,34667.0,4.82,N/A,261593.59
07/2019,85007,34667.0,4.8,N/A,261727.38
08/2019,85007,34667.0,4.9,N/A,262581.35
09/2019,85007,34667.0,4.7,N/A,264037.79
10/2019,85007,34667.0,4.87,N/A,266446.86
11/2019,85007,34667.0,4.6,N/A,269000.17
12/2019,85007,34667.0,4.94,N/A,272013.35
01/2020,85007,35642.0,5.02,N/A,276414.69
02/2020,85007,35642.0,0.19,N/A,283479.54
03/2020,85007,35642.0,4.89,N/A,291959.53
04/2020,85007,35642.0,4.78,N/A,299287.05
05/2020,85007,35642.0,4.89,N/A,303254.07
06/2020,85007,35642.0,4.18,N/A,303234.88
07/2020,85007,35642.0,4.15,N/A,301940.23
08/2020,85007,35642.0,4.58,N/A,301877.83
09/2020,85007,35642.0,4.39,N/A,304941.59
10/2020,85007,35642.0,4.89,N/A,309301.01
11/2020,85007,35642.0,4.8,N/A,314257.86
12/2020,85007,35642.0,4.95,N/A,319782.97
01/2021,85007,43716.0,4.83,N/A,325114.21
02/2021,85007,43716.0,4.73,N/A,330401.4
03/2021,85007,43716.0,4.83,N/A,336058.42
04/2021,85007,43716.0,4.32,N/A,342331.45
05/2021,85007,43716.0,4.67,N/A,349526.19
06/2021,85007,43716.0,4.54,N/A,357350.78
07/2021,85007,43716.0,4.77,N/A,365578.17
08/2021,85007,43716.0,4.93,N/A,372830.75
09/2021,85007,43716.0,4.96,N/A,378024.24
10/2021,85007,43716.0,4.91,N/A,382670.61
11/2021,85007,43716.0,4.72,N/A,387633.22
12/2021,85007,43716.0,4.65,N/A,392698.76
01/2022,85007,50490.0,4.84,N/A,398141.3
02/2022,85007,50490.0,4.32,N/A,404113.39
03/2022,85007,50490.0,4.86,N/A,411942.6
04/2022,85007,50490.0,4.72,N/A,420196.25
05/2022,85007,50490.0,4.85,N/A,429388.01
06/2022,85007,50490.0,4.47,N/A,437408.39
07/2022,85007,50490.0,4.37,N/A,442017.2
08/2022,85007,50490.0,4.42,N/A,441276.15
09/2022,85007,50490.0,4.33,N/A,436191.14
10/2022,85007,50490.0,4.38,N/A,430563.19
11/2022,85007,50490.0,3.92,N/A,424612.33
12/2022,85007,50490.0,4.16,N/A,418978.58
01/2023,85007,55833.0,4.21,N/A,413241.28
02/2023,85007,55833.0,3.72,N/A,408646.3
03/2023,85007,55833.0,4.08,N/A,405955.67
04/2023,85007,55833.0,4.02,N/A,405549.55
05/2023,85007,55833.0,4.24,N/A,406436.93
06/2023,85007,55833.0,3.95,N/A,408654.89
07/2023,85007,55833.0,3.98,N/A,411558.98
08/2023,85007,55833.0,4.1,N/A,415384.97
09/2023,85007,55833.0,4.12,N/A,419591.6
10/2023,85007,55833.0,4.09,N/A,423933.19
11/2023,85007,55833.0,4.02,N/A,428191.95
12/2023,85007,55833.0,3.89,N/A,430699.03
01/2018,85008,39996.0,5.17,N/A,206418.6
02/2018,85008,39996.0,4.55,N/A,209180.58
03/2018,85008,39996.0,4.63,N/A,211873.1
04/2018,85008,39996.0,4.92,N/A,213530.28
05/2018,85008,39996.0,5.01,N/A,215264.65
06/2018,85008,39996.0,4.61,N/A,216834.45
07/2018,85008,39996.0,4.84,N/A,219001.23
08/2018,85008,39996.0,4.83,N/A,221202.34
09/2018,85008,39996.0,4.78,N/A,223616.87
10/2018,85008,39996.0,4.97,N/A,225543.24
11/2018,85008,39996.0,4.63,N/A,227309.02
12/2018,85008,39996.0,4.73,N/A,228841.06
01/2019,85008,43574.0,4.74,N/A,230955.02
02/2019,85008,43574.0,4.16,N/A,233403.95
03/2019,85008,43574.0,4.58,N/A,236124.41
04/2019,85008,43574.0,4.64,N/A,238176.7
05/2019,85008,43574.0,5.01,N/A,239334.72
06/2019,85008,43574.0,4.82,N/A,239957.14
07/2019,85008,43574.0,4.8,N/A,240375.78
08/2019,85008,43574.0,4.9,N/A,241133.37
09/2019,85008,43574.0,4.7,N/A,241974.32
10/2019,85008,43574.0,4.87,N/A,243309.48
11/2019,85008,43574.0,4.6,N/A,245193.26
12/2019,85008,43574.0,4.94,N/A,247457.95
01/2020,85008,46724.0,5.02,N/A,251144.96
02/2020,85008,46724.0,0.19,N/A,256126.38
03/2020,85008,46724.0,4.89,N/A,262309.11
04/2020,85008,46724.0,4.78,N/A,267474.88
05/2020,85008,46724.0,4.89,N/A,270447.07
06/2020,85008,46724.0,4.18,N/A,270997.57
07/2020,85008,46724.0,4.15,N/A,271051.59
08/2020,85008,46724.0,4.58,N/A,272000.33
09/2020,85008,46724.0,4.39,N/A,275150.31
10/2020,85008,46724.0,4.89,N/A,279370.16
11/2020,85008,46724.0,4.8,N/A,284235.13
12/2020,85008,46724.0,4.95,N/A,289187.59
01/2021,85008,51351.0,4.83,N/A,294164.35
02/2021,85008,51351.0,4.73,N/A,299714.06
03/2021,85008,51351.0,4.83,N/A,306258.54
04/2021,85008,51351.0,4.32,N/A,313469.82
05/2021,85008,51351.0,4.67,N/A,321658.47
06/2021,85008,51351.0,4.54,N/A,330697.42
07/2021,85008,51351.0,4.77,N/A,339996.78
08/2021,85008,51351.0,4.93,N/A,347668.04
09/2021,85008,51351.0,4.96,N/A,353046.78
10/2021,85008,51351.0,4.91,N/A,357305.27
11/2021,85008,51351.0,4.72,N/A,362035.84
